smartphone_id,capaciteit,batterij_technologie,verwisselbaar,snellaadfunctie,batterijprestatie
app_793664,1821 mAh,Lithium-ion,Nee,Ja,Standaard
sam_788865,3000 mAh,Lithium-ion,Nee,Ja,Zeer goed
app_819326,2658 mAh,Lithium-ion,Nee,Ja,Goed
app_793665,1821 mAh,Lithium-ion,Nee,Ja,Standaard
app_793666,1821 mAh,Lithium-ion,Nee,Ja,Standaard
app_648317,1715 mAh,Lithium-polymeer,Nee,Nee,Standaard
app_819345,2942 mAh,Lithium-ion,Nee,Ja,Goed
app_793277,2716 mAh,Lithium-ion,Nee,Ja,Goed
hua_824886,3400 mAh,Lithium-ion,Nee,Nee,Zeer goed
sam_827023,3400 mAh,Lithium-ion,Nee,Ja,Zeer goed
app_819300,2658 mAh,Lithium-ion,Nee,Ja,Goed
sam_820617,3300 mAh,Lithium-ion,Nee,Ja,Zeer goed
nok_825127,3500 mAh,Lithium-ion,Nee,Ja,Zeer goed
sam_802083,3000 mAh,Lithium-ion,Nee,Ja,Zeer goed
app_713062,1960 mAh,Lithium-ion,Nee,Nee,Standaard
sam_827074,4100 mAh,Lithium-ion,Nee,Ja,Uitstekend
sam_828145,4000 mAh,Lithium-polymeer,Nee,Ja,Zeer goed
sam_812915,3000 mAh,Lithium-ion,Nee,Nee,Zeer goed
app_819304,2658 mAh,Lithium-ion,Nee,Ja,Goed
sam_812160,3000 mAh,Lithium-ion,Nee,Nee,Zeer goed
nok_827613,3320 mAh,Lithium-polymeer,Nee,Ja,Zeer goed
app_819957,2942 mAh,Lithium-ion,Nee,Ja,Goed
app_819961,2942 mAh,Lithium-ion,Nee,Ja,Goed
nok_825131,3500 mAh,Lithium-ion,Nee,Ja,Zeer goed
mot_825937,5000 mAh,Lithium-ion,Nee,Ja,Uitstekend
sam_820610,3300 mAh,Lithium-ion,Nee,Ja,Zeer goed
app_733904,1960 mAh,Lithium-ion,Nee,Nee,Standaard
sam_773753,2800 mAh,Lithium-ion,Ja,Nee,Goed
hua_821689,4200 mAh,Lithium-polymeer,Nee,Ja,Uitstekend
hua_818778,3750 mAh,Lithium-ion,Nee,Ja,Zeer goed
sam_820615,3300 mAh,Lithium-ion,Nee,Ja,Zeer goed
cat_793347,5000 mAh,Lithium-ion,Nee,Nee,Uitstekend
app_793672,2691 mAh,Lithium-ion,Nee,Ja,Goed
app_793651,2716 mAh,Lithium-ion,Nee,Ja,Goed
sam_816237,4000 mAh,Lithium-polymeer,Nee,Ja,Uitstekend
sam_805190,3000 mAh,Lithium-ion,Nee,Ja,Zeer goed
hua_828432,4200 mAh,Lithium-polymeer,Nee,Ja,Uitstekend
mot_825941,3000 mAh,Lithium-ion,Nee,Ja,Zeer goed
app_819332,3174 mAh,Lithium-ion,Nee,Ja,Zeer goed
app_819950,2942 mAh,Lithium-ion,Nee,Ja,Goed
app_819956,2942 mAh,Lithium-ion,Nee,Ja,Goed
app_793610,2716 mAh,Lithium-ion,Nee,Ja,Goed
app_793663,1821 mAh,Lithium-ion,Nee,Ja,Standaard
sam_728421,3000 mAh,Lithium-ion,Nee,Ja,Zeer goed
sam_805202,3500 mAh,Lithium-ion,Nee,Ja,Uitstekend
app_819329,3174 mAh,Lithium-ion,Nee,Ja,Zeer goed
app_733933,1960 mAh,Lithium-ion,Nee,Nee,Standaard
sam_771943,3000 mAh,Lithium-ion,Nee,Ja,Zeer goed
app_819327,2658 mAh,Lithium-ion,Nee,Ja,Goed
hua_824939,3400 mAh,Lithium-ion,Nee,Nee,Zeer goed
hua_821691,4200 mAh,Lithium-polymeer,Nee,Ja,Uitstekend
sam_782092,3000 mAh,Lithium-ion,Nee,Nee,Zeer goed
hua_828512,4200 mAh,Lithium-polymeer,Nee,Ja,Uitstekend
app_819333,3174 mAh,Lithium-ion,Nee,Ja,Zeer goed
xia_825442,4000 mAh,Lithium-ion,Nee,Ja,Uitstekend
hua_828507,3650 mAh,Lithium-polymeer,Nee,Ja,Uitstekend
mot_805281,3000 mAh,Lithium-ion,Nee,Ja,Goed
sam_828144,4000 mAh,Lithium-polymeer,Nee,Ja,Zeer goed
sam_827256,4100 mAh,Lithium-ion,Nee,Ja,Uitstekend
sam_827077,4100 mAh,Lithium-ion,Nee,Ja,Uitstekend
app_648367,1715 mAh,Lithium-polymeer,Nee,Nee,Standaard
hua_805374,3000 mAh,Lithium-polymeer,Nee,Ja,Zeer goed
sam_812747,3000 mAh,Lithium-ion,Nee,Ja,Zeer goed
app_819344,2942 mAh,Lithium-ion,Nee,Ja,Goed
app_648377,1715 mAh,Lithium-polymeer,Nee,Nee,Standaard
hua_828517,4200 mAh,Lithium-polymeer,Nee,Ja,Uitstekend
xia_820680,4000 mAh,Lithium-polymeer,Nee,Ja,Uitstekend
sam_824929,3300 mAh,Lithium-ion,Nee,Ja,Zeer goed
app_793674,2691 mAh,Lithium-ion,Nee,Ja,Goed
sam_827042,3400 mAh,Lithium-ion,Nee,Ja,Zeer goed
app_819964,2942 mAh,Lithium-ion,Nee,Ja,Goed
sam_827065,3100 mAh,Lithium-ion,Nee,Ja,Zeer goed
hua_802946,3000 mAh,Lithium-ion,Nee,Nee,Goed
hua_828514,4200 mAh,Lithium-polymeer,Nee,Ja,Uitstekend
app_819959,2942 mAh,Lithium-ion,Nee,Ja,Goed
sam_821062,3000 mAh,Lithium-ion,Nee,Ja,Zeer goed
sam_827045,3400 mAh,Lithium-ion,Nee,Ja,Zeer goed
xia_823501,4000 mAh,Lithium-ion,Nee,Ja,Uitstekend
sam_827075,4100 mAh,Lithium-ion,Nee,Ja,Uitstekend
app_819275,2658 mAh,Lithium-ion,Nee,Ja,Goed
sam_817785,4000 mAh,Lithium-polymeer,Nee,Ja,Uitstekend
app_819963,2942 mAh,Lithium-ion,Nee,Ja,Goed
mot_825962,3000 mAh,Lithium-ion,Nee,Ja,Zeer goed
hua_828509,3650 mAh,Lithium-polymeer,Nee,Ja,Uitstekend
app_819330,3174 mAh,Lithium-ion,Nee,Ja,Zeer goed
app_734145,2750 mAh,Lithium-polymeer,Nee,Nee,Goed
sam_785334,3000 mAh,Lithium-ion,Nee,Ja,Zeer goed
sam_828147,4000 mAh,Lithium-polymeer,Nee,Ja,Zeer goed
app_648326,1715 mAh,Lithium-polymeer,Nee,Nee,Standaard
app_819348,2942 mAh,Lithium-ion,Nee,Ja,Goed
sam_761790,3300 mAh,Lithium-ion,Nee,Ja,Zeer goed
sam_826911,3000 mAh,Lithium-ion,Nee,Ja,Zeer goed
hua_828513,4200 mAh,Lithium-polymeer,Nee,Ja,Uitstekend
cat_796267,4000 mAh,Lithium-ion,Nee,Nee,Uitstekend
app_819951,2942 mAh,Lithium-ion,Nee,Ja,Goed
hua_805276,4000 mAh,Lithium-polymeer,Nee,Ja,Uitstekend
son_818964,3330 mAh,Lithium-ion,Nee,Nee,Zeer goed
app_819302,2658 mAh,Lithium-ion,Nee,Ja,Goed
son_805262,2870 mAh,Lithium-ion,Nee,Nee,Goed
app_648416,2750 mAh,Lithium-polymeer,Nee,Nee,Goed
xia_825443,4000 mAh,Lithium-ion,Nee,Ja,Uitstekend
app_819331,3174 mAh,Lithium-ion,Nee,Ja,Zeer goed
hua_805274,3400 mAh,Lithium-polymeer,Nee,Ja,Zeer goed
app_793652,2716 mAh,Lithium-ion,Nee,Ja,Goed
hua_811967,4000 mAh,Lithium-polymeer,Nee,Ja,Uitstekend
hua_811986,3000 mAh,Lithium-polymeer,Nee,Nee,Goed
mot_825938,5000 mAh,Lithium-ion,Nee,Ja,Uitstekend
nok_821537,3060 mAh,Lithium-ion,Nee,Ja,Zeer goed
cat_805284,4500 mAh,Lithium-ion,Nee,Nee,Uitstekend
mot_825936,3000 mAh,Lithium-ion,Nee,Nee,Zeer goed
app_793673,2691 mAh,Lithium-ion,Nee,Ja,Goed
sam_827254,4100 mAh,Lithium-ion,Nee,Ja,Uitstekend
app_734125,2750 mAh,Lithium-polymeer,Nee,Nee,Goed
hua_821982,3340 mAh,Lithium-ion,Nee,Nee,Zeer goed
hua_818806,3750 mAh,Lithium-ion,Nee,Ja,Zeer goed
hua_828516,4200 mAh,Lithium-polymeer,Nee,Ja,Uitstekend
