smartphone_id,kwaliteit,megapixels,typelens,autofocus,videofunctie,video_kwaliteit,flitser,beeldstabilisatie,diafragma,beeldsensor,hdr
app_793664,Zeer goed,12 MP,Standaard,Ja,Ja,4K,Ja,Optische Beeldstabilisatie,"1,8","[1/3""]",Ja
sam_788865,Uitstekend,12 MP,Standaard,Ja,Ja,4K,Ja,Optische Beeldstabilisatie,"1,5",1/2.5,Ja
app_819326,Uitstekend,12 MP,"Groothoek, Telephoto",Ja,Ja,4K,Ja,Optische Beeldstabilisatie,"1,8","[1/3""]",Ja
app_793665,Zeer goed,12 MP,Standaard,Ja,Ja,4K,Ja,Optische Beeldstabilisatie,"1,8","[1/3""]",Ja
app_793666,Zeer goed,12 MP,Standaard,Ja,Ja,4K,Ja,Optische Beeldstabilisatie,"1,8","[1/3""]",Ja
app_648317,Goed,12 MP,Standaard,Ja,Ja,4K,Ja,Optische Beeldstabilisatie,"2,2","[1/3""]",Ja
app_819345,Zeer goed,12 MP,Standaard,Ja,Ja,4K,Ja,Optische Beeldstabilisatie,"1,8","[1/3""]",Ja
app_793277,Uitstekend,12 MP,"Groothoek, Telephoto",Ja,Ja,4K,Ja,Optische Beeldstabilisatie,"1,8","[1/3""]",Ja
hua_824886,Goed,13 MP,Standaard,Ja,Ja,1080p @ 30 FPS,Ja,Geen beeldstabilisatie,"2,2","[1/3""]",Ja
sam_827023,Uitstekend,16 MP,Groothoek,Ja,Ja,4K @ 60 FPS,Ja,Optische Beeldstabilisatie,"2,2","1/2.3""",Ja
app_819300,Uitstekend,12 MP,"Groothoek, Telephoto",Ja,Ja,4K,Ja,Optische Beeldstabilisatie,"1,8","[1/3""]",Ja
sam_820617,Zeer goed,24 MP,"Groothoek, Standaard",Ja,Ja,1080p,Ja,Geen beeldstabilisatie,"1,7","1/2,8""",Ja
nok_825127,Zeer goed,12 MP,Standaard,Ja,Ja,2160p,Ja,Optische Beeldstabilisatie,"1,8",1/2.5,Ja
sam_802083,Goed,16 MP,Groothoek,Ja,Ja,1080p,Ja,Geen beeldstabilisatie,"1,7",1/2.84'',Ja
app_713062,Zeer goed,12 MP,Standaard,Ja,Ja,4K,Ja,Optische Beeldstabilisatie,"1,8","[1/3""]",Ja
sam_827074,Uitstekend,16 MP,Groothoek,Ja,Ja,4K @ 60 FPS,Ja,Optische Beeldstabilisatie,"2,2","1/2.3""",Ja
sam_828145,Zeer goed,25 MP,Standaard,Ja,Ja,1080p @ 30 FPS,Ja,Geen beeldstabilisatie,"1,7","1/2,8""",Ja
sam_812915,Goed,13 MP,Standaard,Ja,Ja,1080p,Ja,Elektronische Beeldstabilisatie,"1,9","1/3,06""",Ja
app_819304,Uitstekend,12 MP,"Groothoek, Telephoto",Ja,Ja,4K,Ja,Optische Beeldstabilisatie,"1,8","[1/3""]",Ja
sam_812160,Goed,16 MP,Standaard,Ja,Ja,1080p,Ja,Geen beeldstabilisatie,"1,7",1/2.84'',Ja
nok_827613,Uitstekend,12 MP,Standaard,Nee,Ja,4K @ 30 FPS,Ja,Optische Beeldstabilisatie,"1,82","1/ 2,9""",Ja
app_819957,Zeer goed,12 MP,Standaard,Ja,Ja,4K,Ja,Optische Beeldstabilisatie,"1,8","[1/3""]",Ja
app_819961,Zeer goed,12 MP,Standaard,Ja,Ja,4K,Ja,Optische Beeldstabilisatie,"1,8","[1/3""]",Ja
nok_825131,Zeer goed,12 MP,Standaard,Ja,Ja,2160p,Ja,Optische Beeldstabilisatie,"1,8",1/2.5,Ja
mot_825937,Standaard,12 MP,Standaard,Ja,Ja,2160p,Ja,Geen beeldstabilisatie,2,[Niet van toepassing],Nee
sam_820610,Zeer goed,24 MP,"Groothoek, Standaard",Ja,Ja,1080p,Ja,Geen beeldstabilisatie,"1,7","1/2,8""",Ja
app_733904,Zeer goed,12 MP,Standaard,Ja,Ja,4K,Ja,Optische Beeldstabilisatie,"1,8","[1/3""]",Ja
sam_773753,Goed,13 MP,Standaard,Ja,Ja,1080p,Ja,Geen beeldstabilisatie,"1,9","[1/3""]",Ja
hua_821689,Uitstekend,40 MP,Telephoto,Ja,Ja,4K,Ja,Optische Beeldstabilisatie,"1,8","1/1.7""",Ja
hua_818778,Goed,24 MP,Standaard,Ja,Ja,2160p,Ja,Geen beeldstabilisatie,"1,8",[CMOS Sensor],Ja
sam_820615,Zeer goed,24 MP,"Groothoek, Standaard",Ja,Ja,1080p,Ja,Geen beeldstabilisatie,"1,7","1/2,8""",Ja
cat_793347,Standaard,13 MP,Standaard,Ja,Ja,1080p,Ja,Geen beeldstabilisatie,2,"[1/3""]",Ja
app_793672,Uitstekend,12 MP,"Groothoek, Telephoto",Ja,Ja,4K,Ja,Optische Beeldstabilisatie,"1,8","[1/3""]",Ja
app_793651,Uitstekend,12 MP,"Groothoek, Telephoto",Ja,Ja,4K,Ja,Optische Beeldstabilisatie,"1,8","[1/3""]",Ja
sam_816237,Uitstekend,12 MP,Standaard,Ja,Ja,2160p,Ja,Optische Beeldstabilisatie,"1,5","1/2.55""",Ja
sam_805190,Uitstekend,12 MP,Standaard,Ja,Ja,4K,Ja,Optische Beeldstabilisatie,"2,4",1/2.5,Ja
hua_828432,Uitstekend,40 MP,Standaard,Ja,Ja,4K @ 30 FPS,Ja,Optische Beeldstabilisatie,"1,6","1/1.7""",Ja
mot_825941,Zeer goed,16 MP,Standaard,Ja,Ja,2160p,Ja,Optische Beeldstabilisatie,"1,7",[Niet van toepassing],Nee
app_819332,Uitstekend,12 MP,"Groothoek, Telephoto",Ja,Ja,4K,Ja,Optische Beeldstabilisatie,"1,8","[1/3""]",Ja
app_819950,Zeer goed,12 MP,Standaard,Ja,Ja,4K,Ja,Optische Beeldstabilisatie,"1,8","[1/3""]",Ja
app_819956,Zeer goed,12 MP,Standaard,Ja,Ja,4K,Ja,Optische Beeldstabilisatie,"1,8","[1/3""]",Ja
app_793610,Uitstekend,12 MP,"Groothoek, Telephoto",Ja,Ja,4K,Ja,Optische Beeldstabilisatie,"1,8","[1/3""]",Ja
app_793663,Zeer goed,12 MP,Standaard,Ja,Ja,4K,Ja,Optische Beeldstabilisatie,"1,8","[1/3""]",Ja
sam_728421,Zeer goed,12 MP,Groothoek,Ja,Ja,4K,Ja,Optische Beeldstabilisatie,"1,7",1/2.5,Ja
sam_805202,Uitstekend,12 MP,Standaard,Ja,Ja,4K,Ja,Optische Beeldstabilisatie,"1,5",1/2.5,Ja
app_819329,Uitstekend,12 MP,"Groothoek, Telephoto",Ja,Ja,4K,Ja,Optische Beeldstabilisatie,"1,8","[1/3""]",Ja
app_733933,Zeer goed,12 MP,Standaard,Ja,Ja,4K,Ja,Optische Beeldstabilisatie,"1,8","[1/3""]",Ja
sam_771943,Zeer goed,12 MP,Groothoek,Ja,Ja,4K,Ja,Optische Beeldstabilisatie,"1,7",1/2.5,Ja
app_819327,Uitstekend,12 MP,"Groothoek, Telephoto",Ja,Ja,4K,Ja,Optische Beeldstabilisatie,"1,8","[1/3""]",Ja
hua_824939,Goed,13 MP,Standaard,Ja,Ja,1080p @ 30 FPS,Ja,Geen beeldstabilisatie,"2,2","[1/3""]",Ja
hua_821691,Uitstekend,40 MP,Telephoto,Ja,Ja,4K,Ja,Optische Beeldstabilisatie,"1,8","1/1.7""",Ja
sam_782092,Standaard,13 MP,Standaard,Ja,Ja,1080p,Ja,Geen beeldstabilisatie,"1,7","1/3,06""",Ja
hua_828512,Uitstekend,40 MP,Standaard,Ja,Ja,4K @ 30 FPS,Ja,Optische Beeldstabilisatie,"1,6","1/1.7""",Ja
app_819333,Uitstekend,12 MP,"Groothoek, Telephoto",Ja,Ja,4K,Ja,Optische Beeldstabilisatie,"1,8","[1/3""]",Ja
xia_825442,Zeer goed,12 MP,Standaard,Ja,Ja,4K @ 30 FPS,Ja,Elektronische Beeldstabilisatie,"1,9",1/2.5,Ja
hua_828507,Uitstekend,40 MP,Standaard,Ja,Ja,4K @ 30 FPS,Ja,Geen beeldstabilisatie,"1,8","1/1.7""",Ja
mot_805281,Goed,12 MP,Standaard,Ja,Ja,4K,Ja,Geen beeldstabilisatie,"1,8",1/2.84'',Ja
sam_828144,Zeer goed,25 MP,Standaard,Ja,Ja,1080p @ 30 FPS,Ja,Geen beeldstabilisatie,"1,7","1/2,8""",Ja
sam_827256,Uitstekend,16 MP,Groothoek,Ja,Ja,4K @ 60 FPS,Ja,Optische Beeldstabilisatie,"2,2","1/2.3""",Ja
sam_827077,Uitstekend,16 MP,Groothoek,Ja,Ja,4K @ 60 FPS,Ja,Optische Beeldstabilisatie,"2,2","1/2.3""",Ja
app_648367,Goed,12 MP,Standaard,Ja,Ja,4K,Ja,Optische Beeldstabilisatie,"2,2","[1/3""]",Ja
hua_805374,Goed,16 MP,Standaard,Ja,Ja,1080p,Ja,Geen beeldstabilisatie,"2,2","1/ 2,9""",Ja
sam_812747,Uitstekend,12 MP,Standaard,Ja,Ja,4K,Ja,Optische Beeldstabilisatie,"1,5",1/2.5,Ja
app_819344,Zeer goed,12 MP,Standaard,Ja,Ja,4K,Ja,Optische Beeldstabilisatie,"1,8","[1/3""]",Ja
app_648377,Goed,12 MP,Standaard,Ja,Ja,4K,Ja,Optische Beeldstabilisatie,"2,2","[1/3""]",Ja
hua_828517,Uitstekend,40 MP,Standaard,Ja,Ja,4K @ 30 FPS,Ja,Optische Beeldstabilisatie,"1,6","1/1.7""",Ja
xia_820680,Goed,12 MP,Standaard,Ja,Ja,1080p,Ja,Geen beeldstabilisatie,"2,2","1/ 2,9""",Ja
sam_824929,Zeer goed,24 MP,"Groothoek, Standaard",Ja,Ja,1080p,Ja,Geen beeldstabilisatie,"1,7","1/2,8""",Ja
app_793674,Uitstekend,12 MP,"Groothoek, Telephoto",Ja,Ja,4K,Ja,Optische Beeldstabilisatie,"1,8","[1/3""]",Ja
sam_827042,Uitstekend,16 MP,Groothoek,Ja,Ja,4K @ 60 FPS,Ja,Optische Beeldstabilisatie,"2,2","1/2.3""",Ja
app_819964,Zeer goed,12 MP,Standaard,Ja,Ja,4K,Ja,Optische Beeldstabilisatie,"1,8","[1/3""]",Ja
sam_827065,Uitstekend,16 MP,Groothoek,Ja,Ja,4K @ 60 FPS,Ja,Optische Beeldstabilisatie,"2,2","1/2.3""",Ja
hua_802946,Goed,13 MP,Standaard,Ja,Ja,1080p,Ja,Geen beeldstabilisatie,"2,2","[1/3""]",Ja
hua_828514,Uitstekend,40 MP,Standaard,Ja,Ja,4K @ 30 FPS,Ja,Optische Beeldstabilisatie,"1,6","1/1.7""",Ja
app_819959,Zeer goed,12 MP,Standaard,Ja,Ja,4K,Ja,Optische Beeldstabilisatie,"1,8","[1/3""]",Ja
sam_821062,Goed,16 MP,Groothoek,Ja,Ja,1080p,Ja,Geen beeldstabilisatie,"1,7",1/2.84'',Ja
sam_827045,Uitstekend,16 MP,Groothoek,Ja,Ja,4K @ 60 FPS,Ja,Optische Beeldstabilisatie,"2,2","1/2.3""",Ja
xia_823501,Zeer goed,12 MP,Standaard,Ja,Ja,4K @ 30 FPS,Ja,Elektronische Beeldstabilisatie,"1,9",1/2.5,Ja
sam_827075,Uitstekend,16 MP,Groothoek,Ja,Ja,4K @ 60 FPS,Ja,Optische Beeldstabilisatie,"2,2","1/2.3""",Ja
app_819275,Uitstekend,12 MP,"Groothoek, Telephoto",Ja,Ja,4K,Ja,Optische Beeldstabilisatie,"1,8","[1/3""]",Ja
sam_817785,Uitstekend,12 MP,Standaard,Ja,Ja,2160p,Ja,Optische Beeldstabilisatie,"1,5","1/2.55""",Ja
app_819963,Zeer goed,12 MP,Standaard,Ja,Ja,4K,Ja,Optische Beeldstabilisatie,"1,8","[1/3""]",Ja
mot_825962,Zeer goed,16 MP,Standaard,Ja,Ja,2160p,Ja,Optische Beeldstabilisatie,"1,7",[Niet van toepassing],Nee
hua_828509,Uitstekend,40 MP,Standaard,Ja,Ja,4K @ 30 FPS,Ja,Geen beeldstabilisatie,"1,8","1/1.7""",Ja
app_819330,Uitstekend,12 MP,"Groothoek, Telephoto",Ja,Ja,4K,Ja,Optische Beeldstabilisatie,"1,8","[1/3""]",Ja
app_734145,Uitstekend,12 MP,"Groothoek, Telephoto",Ja,Ja,4K,Ja,Optische Beeldstabilisatie,"1,8","[1/3""]",Ja
sam_785334,Zeer goed,12 MP,Groothoek,Ja,Ja,4K,Ja,Optische Beeldstabilisatie,"1,7",1/2.5,Ja
sam_828147,Zeer goed,25 MP,Standaard,Ja,Ja,1080p @ 30 FPS,Ja,Geen beeldstabilisatie,"1,7","1/2,8""",Ja
app_648326,Goed,12 MP,Standaard,Ja,Ja,4K,Ja,Optische Beeldstabilisatie,"2,2","[1/3""]",Ja
