smartphone_id,megapixels,typelens,beeldstabilisatie,diafragma
app_819326,12 MP,Telelens,Optische Beeldstabilisatie,"2,4"
app_793277,12 MP,Telelens,Optische Beeldstabilisatie,"2,4"
hua_824886,2 MP,Standaard,Geen beeldstabilisatie,"2,2"
sam_827023,12 MP,Groothoek,Optische Beeldstabilisatie,"1,5"
app_819300,12 MP,Telelens,Optische Beeldstabilisatie,"2,4"
sam_820617,8 MP,Standaard,Geen beeldstabilisatie,"2,4"
nok_825127,13 MP,Standaard,Geen beeldstabilisatie,"2,2"
sam_827074,12 MP,Groothoek,Optische Beeldstabilisatie,"1,5"
sam_828145,8 MP,Groothoek,Geen beeldstabilisatie,"2,2"
app_819304,12 MP,Telelens,Optische Beeldstabilisatie,"2,4"
nok_827613,12 MP,Monochroom,Optische Beeldstabilisatie,"1,82"
nok_825131,13 MP,Standaard,Geen beeldstabilisatie,"2,2"
sam_820610,8 MP,Standaard,Geen beeldstabilisatie,"2,4"
hua_821689,20 MP,Groothoek,Optische Beeldstabilisatie,"1,6"
hua_818778,2 MP,Dieptesensor,Geen beeldstabilisatie,"1,8"
sam_820615,8 MP,Standaard,Geen beeldstabilisatie,"2,4"
app_793672,12 MP,Telelens,Optische Beeldstabilisatie,"2,8"
app_793651,12 MP,Telelens,Optische Beeldstabilisatie,"2,4"
sam_816237,12 MP,Telelens,Optische Beeldstabilisatie,"2,4"
hua_828432,20 MP,Groothoek,Geen beeldstabilisatie,"2,2"
mot_825941,5 MP,Standaard,Geen beeldstabilisatie,"2,2"
app_819332,12 MP,Telelens,Optische Beeldstabilisatie,"2,4"
app_793610,12 MP,Telelens,Optische Beeldstabilisatie,"2,4"
sam_805202,12 MP,Telelens,Optische Beeldstabilisatie,"2,4"
app_819329,12 MP,Telelens,Optische Beeldstabilisatie,"2,4"
app_819327,12 MP,Telelens,Optische Beeldstabilisatie,"2,4"
hua_824939,2 MP,Standaard,Geen beeldstabilisatie,"2,2"
hua_821691,20 MP,Groothoek,Optische Beeldstabilisatie,"1,6"
hua_828512,20 MP,Groothoek,Geen beeldstabilisatie,"2,2"
app_819333,12 MP,Telelens,Optische Beeldstabilisatie,"2,4"
xia_825442,5 MP,Standaard,Geen beeldstabilisatie,2
hua_828507,16 MP,Groothoek,Geen beeldstabilisatie,"2,2"
mot_805281,5 MP,Standaard,Geen beeldstabilisatie,"1,8"
sam_828144,8 MP,Groothoek,Geen beeldstabilisatie,"2,2"
sam_827256,12 MP,Groothoek,Optische Beeldstabilisatie,"1,5"
sam_827077,12 MP,Groothoek,Optische Beeldstabilisatie,"1,5"
hua_805374,2 MP,Standaard,Geen beeldstabilisatie,"2,4"
hua_828517,20 MP,Groothoek,Geen beeldstabilisatie,"2,2"
xia_820680,5 MP,Standaard,Geen beeldstabilisatie,"2,2"
sam_824929,8 MP,Standaard,Geen beeldstabilisatie,"2,4"
app_793674,12 MP,Telelens,Optische Beeldstabilisatie,"2,8"
sam_827042,12 MP,Groothoek,Optische Beeldstabilisatie,"1,5"
sam_827065,12 MP,Groothoek,Optische Beeldstabilisatie,"1,5"
hua_802946,2 MP,Standaard,Geen beeldstabilisatie,2
hua_828514,20 MP,Groothoek,Geen beeldstabilisatie,"2,2"
sam_827045,12 MP,Groothoek,Optische Beeldstabilisatie,"1,5"
xia_823501,5 MP,Standaard,Geen beeldstabilisatie,2
sam_827075,12 MP,Groothoek,Optische Beeldstabilisatie,"1,5"
app_819275,12 MP,Telelens,Optische Beeldstabilisatie,"2,4"
sam_817785,12 MP,Telelens,Optische Beeldstabilisatie,"2,4"
mot_825962,5 MP,Standaard,Geen beeldstabilisatie,"2,2"
hua_828509,16 MP,Groothoek,Geen beeldstabilisatie,"2,2"
app_819330,12 MP,Telelens,Optische Beeldstabilisatie,"2,4"
app_734145,12 MP,Telelens,Optische Beeldstabilisatie,"2,2"
sam_828147,8 MP,Groothoek,Geen beeldstabilisatie,"2,2"
sam_761790,12 MP,Telelens,Optische Beeldstabilisatie,"2,4"
hua_828513,20 MP,Groothoek,Geen beeldstabilisatie,"2,2"
hua_805276,20 MP,Monochroom,Geen beeldstabilisatie,"2,4"
app_819302,12 MP,Telelens,Optische Beeldstabilisatie,"2,4"
xia_825443,5 MP,Standaard,Geen beeldstabilisatie,2
app_819331,12 MP,Telelens,Optische Beeldstabilisatie,"2,4"
hua_805274,12 MP,Telelens,Geen beeldstabilisatie,"1,6"
app_793652,12 MP,Telelens,Optische Beeldstabilisatie,"2,4"
hua_811967,20 MP,Monochroom,Geen beeldstabilisatie,"2,4"
nok_821537,5 MP,Standaard,Geen beeldstabilisatie,"2,4"
app_793673,12 MP,Telelens,Optische Beeldstabilisatie,"2,8"
sam_827254,12 MP,Groothoek,Optische Beeldstabilisatie,"1,5"
app_734125,12 MP,Telelens,Optische Beeldstabilisatie,"2,2"
hua_821982,2 MP,Standaard,Geen beeldstabilisatie,"2,2"
hua_818806,2 MP,Dieptesensor,Geen beeldstabilisatie,"1,8"
hua_828516,20 MP,Groothoek,Geen beeldstabilisatie,"2,2"
sam_827046,12 MP,Groothoek,Optische Beeldstabilisatie,"1,5"
hua_802951,2 MP,Standaard,Geen beeldstabilisatie,2
sam_827076,12 MP,Groothoek,Optische Beeldstabilisatie,"1,5"
hua_829106,20 MP,Groothoek,Geen beeldstabilisatie,"2,2"
sam_827072,12 MP,Groothoek,Optische Beeldstabilisatie,"1,5"
app_793685,12 MP,Telelens,Optische Beeldstabilisatie,"2,8"
hua_828508,16 MP,Groothoek,Geen beeldstabilisatie,"2,2"
mot_823420,2 MP,Standaard,Geen beeldstabilisatie,"2,4"
mot_811095,5 MP,Standaard,Geen beeldstabilisatie,"1,8"
sam_808964,12 MP,Telelens,Optische Beeldstabilisatie,"2,4"
hua_807002,2 MP,Standaard,Geen beeldstabilisatie,"2,4"
app_793684,12 MP,Telelens,Optische Beeldstabilisatie,"2,8"
xia_825444,12 MP,Telelens,Geen beeldstabilisatie,"2,4"
xia_819783,5 MP,Standaard,Geen beeldstabilisatie,"2,2"
app_819945,12 MP,Telelens,Optische Beeldstabilisatie,"2,4"
nok_806022,13 MP,Standaard,Geen beeldstabilisatie,"2,6"
app_734126,12 MP,Telelens,Optische Beeldstabilisatie,"2,2"
hua_812286,2 MP,Standaard,Geen beeldstabilisatie,"2,4"
app_734127,12 MP,Telelens,Optische Beeldstabilisatie,"2,2"
hua_821690,20 MP,Groothoek,Optische Beeldstabilisatie,"1,6"
app_819948,12 MP,Telelens,Optische Beeldstabilisatie,"2,4"
sam_805204,12 MP,Telelens,Optische Beeldstabilisatie,"2,4"
app_734128,12 MP,Telelens,Optische Beeldstabilisatie,"2,2"
mot_825939,5 MP,Standaard,Geen beeldstabilisatie,2
app_819949,12 MP,Telelens,Optische Beeldstabilisatie,"2,4"
app_819944,12 MP,Telelens,Optische Beeldstabilisatie,"2,4"
app_734141,12 MP,Telelens,Optische Beeldstabilisatie,"2,2"
mot_811120,5 MP,Standaard,Geen beeldstabilisatie,"1,7"
xia_828047,16 MP,Groothoek,Geen beeldstabilisatie,"2,2"
app_819328,12 MP,Telelens,Optische Beeldstabilisatie,"2,4"
hon_821695,20 MP,Standaard,Geen beeldstabilisatie,"1,8"
nok_821539,5 MP,Standaard,Geen beeldstabilisatie,"2,4"
app_734130,12 MP,Telelens,Optische Beeldstabilisatie,"2,2"
sam_817228,12 MP,Telefoto,Optische Beeldstabilisatie,"2,4"
hua_818807,2 MP,Dieptesensor,Geen beeldstabilisatie,"1,8"
app_819947,12 MP,Telelens,Optische Beeldstabilisatie,"2,4"
sam_827073,12 MP,Groothoek,Optische Beeldstabilisatie,"1,5"
sam_829626,12 MP,Groothoek,Optische Beeldstabilisatie,"1,5"
sam_829627,12 MP,Groothoek,Optische Beeldstabilisatie,"1,5"
sam_829628,12 MP,Groothoek,Optische Beeldstabilisatie,"1,5"
sam_827071,12 MP,Groothoek,Optische Beeldstabilisatie,"1,5"
hua_806994,20 MP,Monochroom,Geen beeldstabilisatie,"2,4"
app_793686,12 MP,Telelens,Optische Beeldstabilisatie,"2,8"
son_827296,5 MP,Standaard,Geen beeldstabilisatie,"2,4"
hon_818867,2 MP,Standaard,Elektronische Beeldstabilisatie,"2,4"
cro_824694,12 MP,Standaard,Elektronische Beeldstabilisatie,"2,1"
sam_827286,12 MP,Groothoek,Optische Beeldstabilisatie,"1,5"
sam_820190,5 MP,Standaard,Elektronische Beeldstabilisatie,"2,2"
hon_821696,20 MP,Standaard,Geen beeldstabilisatie,"1,8"
opp_825284,20 MP,Standaard,Optische Beeldstabilisatie,2
hua_806991,12 MP,Telelens,Geen beeldstabilisatie,"1,6"
app_734154,12 MP,Telelens,Optische Beeldstabilisatie,"2,2"
sam_812748,12 MP,Telelens,Optische Beeldstabilisatie,"2,4"
app_793977,12 MP,Telelens,Optische Beeldstabilisatie,"2,2"
son_827295,5 MP,Standaard,Geen beeldstabilisatie,"2,4"
sam_828146,8 MP,Groothoek,Geen beeldstabilisatie,"2,2"
mot_789405,13 MP,Standaard,Geen beeldstabilisatie,"2,2"
sam_826995,12 MP,Groothoek,Optische Beeldstabilisatie,"1,5"
lg_825677,16 MP,Groothoek,Geen beeldstabilisatie,"1,9"
hua_802953,2 MP,Standaard,Geen beeldstabilisatie,2
xia_825441,5 MP,Standaard,Geen beeldstabilisatie,2
nok_825011,5 MP,Standaard,Geen beeldstabilisatie,2
xia_828048,16 MP,Groothoek,Geen beeldstabilisatie,"2,2"
hon_818863,2 MP,Standaard,Elektronische Beeldstabilisatie,"2,4"
sam_829108,5 MP,Groothoek,Geen beeldstabilisatie,"2,2"
sam_826996,12 MP,Groothoek,Optische Beeldstabilisatie,"1,5"
xia_828045,16 MP,Groothoek,Geen beeldstabilisatie,"2,2"
son_827298,5 MP,Standaard,Geen beeldstabilisatie,"2,4"
lg_811871,16 MP,Groothoek,Geen beeldstabilisatie,"1,9"
son_827299,8 MP,Standaard,Geen beeldstabilisatie,"2,4"
hua_828488,2 MP,Standaard,Geen beeldstabilisatie,"2,4"
hon_822034,2 MP,Standaard,Geen beeldstabilisatie,"1,8"
hua_821693,16 MP,Groothoek,Geen beeldstabilisatie,"2,2"
mot_814744,5 MP,Standaard,Geen beeldstabilisatie,"2,2"
opp_825283,20 MP,Standaard,Optische Beeldstabilisatie,2
nok_825006,5 MP,Standaard,Geen beeldstabilisatie,"2,4"
opp_825293,20 MP,Standaard,Optische Beeldstabilisatie,"2,6"
mot_825940,5 MP,Standaard,Geen beeldstabilisatie,2
opp_825290,2 MP,Standaard,Optische Beeldstabilisatie,"2,4"
asu_806019,8 MP,Groothoek,Elektronische Beeldstabilisatie,2
app_819946,12 MP,Telelens,Optische Beeldstabilisatie,"2,4"
sam_805205,12 MP,Telelens,Optische Beeldstabilisatie,"2,4"
opp_827271,2 MP,Standaard,Geen beeldstabilisatie,"2,4"
son_827301,8 MP,Standaard,Geen beeldstabilisatie,"2,4"
son_827302,8 MP,Standaard,Geen beeldstabilisatie,"2,4"
hon_824865,2 MP,Standaard,Geen beeldstabilisatie,"2,4"
opp_825292,20 MP,Standaard,Optische Beeldstabilisatie,"2,6"
opp_825289,2 MP,Standaard,Optische Beeldstabilisatie,"2,4"
hua_821694,16 MP,Groothoek,Geen beeldstabilisatie,"2,2"
hua_821692,16 MP,Groothoek,Optische Beeldstabilisatie,"2,2"
son_827303,2 MP,Standaard,Geen beeldstabilisatie,"2,4"
hua_828487,2 MP,Standaard,Geen beeldstabilisatie,"2,4"
sam_829414,5 MP,Groothoek,Geen beeldstabilisatie,"2,2"
sam_829418,5 MP,Groothoek,Geen beeldstabilisatie,"2,2"
son_827300,8 MP,Standaard,Geen beeldstabilisatie,"2,4"
son_827297,5 MP,Standaard,Geen beeldstabilisatie,"2,4"
sam_826912,12 MP,Telelens,Optische Beeldstabilisatie,"2,4"
xia_828046,16 MP,Groothoek,Geen beeldstabilisatie,"2,2"
hon_824864,2 MP,Standaard,Geen beeldstabilisatie,"2,4"
