smartphone_id,megapixels,diafragma,beeldstabilisatie,flitser
app_793664,7 MP,"2,2",Geen beeldstabilisatie,Ja
sam_788865,8 MP,"1,7",Geen beeldstabilisatie,Nee
app_819326,7 MP,"2,2",Elektronische Beeldstabilisatie,Nee
app_793665,7 MP,"2,2",Geen beeldstabilisatie,Ja
app_793666,7 MP,"2,2",Geen beeldstabilisatie,Ja
app_648317,5 MP,"2,2",Geen beeldstabilisatie,Nee
app_819345,7 MP,"2,2",Elektronische Beeldstabilisatie,Nee
app_793277,7 MP,"2,2",Optische Beeldstabilisatie,Ja
hua_824886,8 MP,2,Geen beeldstabilisatie,Nee
sam_827023,10 MP,"1,9",Geen beeldstabilisatie,Nee
app_819300,7 MP,"2,2",Elektronische Beeldstabilisatie,Nee
sam_820617,24 MP,2,Geen beeldstabilisatie,Nee
nok_825127,20 MP,2,Geen beeldstabilisatie,Nee
sam_802083,16 MP,"1,9",Geen beeldstabilisatie,Nee
app_713062,7 MP,"2,2",Geen beeldstabilisatie,Nee
sam_827074,10 MP,"1,9",Geen beeldstabilisatie,Nee
sam_828145,25 MP,2,Geen beeldstabilisatie,Nee
sam_812915,8 MP,"1,9",Geen beeldstabilisatie,Ja
app_819304,7 MP,"2,2",Elektronische Beeldstabilisatie,Nee
sam_812160,16 MP,"1,9",Geen beeldstabilisatie,Ja
nok_827613,20 MP,"1,8",Geen beeldstabilisatie,Nee
app_819957,7 MP,"2,2",Elektronische Beeldstabilisatie,Nee
app_819961,7 MP,"2,2",Elektronische Beeldstabilisatie,Nee
nok_825131,20 MP,2,Geen beeldstabilisatie,Nee
mot_825937,8 MP,"2,2",Geen beeldstabilisatie,Nee
sam_820610,24 MP,2,Geen beeldstabilisatie,Nee
app_733904,7 MP,"2,2",Geen beeldstabilisatie,Nee
sam_773753,5 MP,"2,2",Geen beeldstabilisatie,Nee
hua_821689,24 MP,2,Geen beeldstabilisatie,Ja
hua_818778,24 MP,2,Geen beeldstabilisatie,Nee
sam_820615,24 MP,2,Geen beeldstabilisatie,Nee
cat_793347,8 MP,,Geen beeldstabilisatie,Nee
app_793672,7 MP,"2,2",Geen beeldstabilisatie,Ja
app_793651,7 MP,"2,2",Optische Beeldstabilisatie,Ja
sam_816237,8 MP,"1,7",Elektronische Beeldstabilisatie,Ja
sam_805190,8 MP,"1,7",Geen beeldstabilisatie,Nee
hua_828432,32 MP,2,Geen beeldstabilisatie,Nee
mot_825941,8 MP,"2,2",Geen beeldstabilisatie,Nee
