smartphone_id,processormerk,aantal_kernen,kloksnelheid
app_793664,Apple,Hexa core (6),"2,39 GHz"
sam_788865,Exynos 9810,Quad core (4),"2,9 GHz"
app_819326,Apple,Hexa core (6),"2,5 GHz"
app_793665,Apple,Hexa core (6),"2,39 GHz"
app_793666,Apple,Hexa core (6),"2,39 GHz"
app_648317,Apple A9,Dual core (2),"1,84 GHz"
app_819345,Apple,Hexa core (6),"2,5 GHz"
app_793277,Apple,Hexa core (6),"2,39 GHz"
hua_824886,HiSilicon Kirin 710,Octa core (8),"2,2 GHz"
sam_827023,Exynos,Octa core (8),"2,7 GHz"
app_819300,Apple,Hexa core (6),"2,5 GHz"
sam_820617,Exynos,Octa core (8),"2,2 GHz"
nok_825127,Qualcomm Snapdragon 710,Octa core (8),"2,2 GHz"
sam_802083,Exynos,Dual core (2),"2,2 GHz"
app_713062,Apple A10,Quad core (4),"2,34 GHz"
sam_827074,Exynos,Octa core (8),"2,7 GHz"
sam_828145,Exynos 9610,Octa core (8),"2,3 GHz"
sam_812915,Exynos,Octa core (8),"1,6 GHz"
app_819304,Apple,Hexa core (6),"2,5 GHz"
sam_812160,Exynos,Quad core (4),"1,6 GHz"
nok_827613,Qualcomm Snapdragon 845,Octa core (8),"2,8 GHz"
app_819957,Apple,Hexa core (6),"2,5 GHz"
app_819961,Apple,Hexa core (6),"2,5 GHz"
nok_825131,Qualcomm Snapdragon 710,Octa core (8),"2,2 GHz"
mot_825937,Qualcomm Snapdragon 632,Octa core (8),"1,8 GHz"
sam_820610,Exynos,Octa core (8),"2,2 GHz"
app_733904,Apple A10,Quad core (4),"2,34 GHz"
sam_773753,Exynos,Quad core (4),"1,4 GHz"
hua_821689,HiSilicon Kirin 980,Quad core (4),"2,6 GHz"
hua_818778,HiSilicon,Octa core (8),"2,2 GHz"
sam_820615,Exynos,Octa core (8),"2,2 GHz"
cat_793347,MediaTek,Octa core (8),"2,3 GHz"
app_793672,Apple,Hexa core (6),"2,39 GHz"
app_793651,Apple,Hexa core (6),"2,39 GHz"
sam_816237,Exynos 9810,Octa core (8),"2,7 GHz"
sam_805190,Exynos 9810,Quad core (4),"2,9 GHz"
hua_828432,HiSilicon Kirin 980,Octa core (8),"2,6 GHz"
mot_825941,Qualcomm Snapdragon 636,Octa core (8),"1,8 GHz"
app_819332,Apple,Hexa core (6),"2,5 GHz"
app_819950,Apple,Hexa core (6),"2,5 GHz"
app_819956,Apple,Hexa core (6),"2,5 GHz"
app_793610,Apple,Hexa core (6),"2,39 GHz"
app_793663,Apple,Hexa core (6),"2,39 GHz"
sam_728421,Exynos,Quad core (4),"2,3 GHz"
sam_805202,Exynos 9810,Quad core (4),"2,7 GHz"
app_819329,Apple,Hexa core (6),"2,5 GHz"
app_733933,Apple A10,Quad core (4),"2,34 GHz"
sam_771943,Exynos,Quad core (4),"2,3 GHz"
app_819327,Apple,Hexa core (6),"2,5 GHz"
hua_824939,HiSilicon Kirin 710,Octa core (8),"2,2 GHz"
hua_821691,HiSilicon Kirin 980,Quad core (4),"2,6 GHz"
sam_782092,Exynos,Octa core (8),"1,6 GHz"
hua_828512,HiSilicon Kirin 980,Octa core (8),"2,6 GHz"
app_819333,Apple,Hexa core (6),"2,5 GHz"
xia_825442,Qualcomm Snapdragon 845,Octa core (8),"2,8 GHz"
hua_828507,HiSilicon Kirin 980,Octa core (8),"2,6 GHz"
mot_805281,Qualcomm Snapdragon 450,Octa core (8),"1,8 GHz"
sam_828144,Exynos 9610,Octa core (8),"2,3 GHz"
sam_827256,Exynos,Octa core (8),"2,7 GHz"
sam_827077,Exynos,Octa core (8),"2,7 GHz"
app_648367,Apple A9,Dual core (2),"1,84 GHz"
hua_805374,Kirin,Quad core (4),"2,36 GHz"
sam_812747,Exynos 9810,Quad core (4),"2,9 GHz"
app_819344,Apple,Hexa core (6),"2,5 GHz"
app_648377,Apple A9,Dual core (2),"1,84 GHz"
hua_828517,HiSilicon Kirin 980,Octa core (8),"2,6 GHz"
xia_820680,Qualcomm Snapdragon 625,Octa core (8),2 GHz
sam_824929,ARM Cortex,Octa core (8),"2,2 GHz"
app_793674,Apple,Hexa core (6),"2,39 GHz"
sam_827042,Exynos,Octa core (8),"2,7 GHz"
app_819964,Apple,Hexa core (6),"2,5 GHz"
sam_827065,Exynos,Octa core (8),"2,7 GHz"
hua_802946,HiSilicon Kirin 659,Octa core (8),"1,7 GHz"
hua_828514,HiSilicon Kirin 980,Octa core (8),"2,6 GHz"
app_819959,Apple,Hexa core (6),"2,5 GHz"
sam_821062,Exynos,Dual core (2),"2,2 GHz"
sam_827045,Exynos,Octa core (8),"2,7 GHz"
xia_823501,Qualcomm Snapdragon 845,Octa core (8),"2,8 GHz"
sam_827075,Exynos,Octa core (8),"2,7 GHz"
app_819275,Apple,Hexa core (6),"2,5 GHz"
sam_817785,Exynos 9810,Octa core (8),"2,7 GHz"
app_819963,Apple,Hexa core (6),"2,5 GHz"
mot_825962,Qualcomm Snapdragon 636,Octa core (8),"1,8 GHz"
hua_828509,HiSilicon Kirin 980,Octa core (8),"2,6 GHz"
app_819330,Apple,Hexa core (6),"2,5 GHz"
app_734145,Apple A10,Quad core (4),"2,34 GHz"
sam_785334,Exynos,Quad core (4),"2,3 GHz"
sam_828147,Exynos 9610,Octa core (8),"2,3 GHz"
app_648326,Apple A9,Dual core (2),"1,84 GHz"
app_819348,Apple,Hexa core (6),"2,5 GHz"
sam_761790,Exynos,Quad core (4),"2,3 GHz"
sam_826911,Exynos 9810,Quad core (4),"2,9 GHz"
hua_828513,HiSilicon Kirin 980,Octa core (8),"2,6 GHz"
cat_796267,Qualcomm Snapdragon 210,Quad core (4),"1,3 GHz"
app_819951,Apple,Hexa core (6),"2,5 GHz"
hua_805276,Kirin,Quad core (4),"2,36 GHz"
son_818964,Qualcomm Snapdragon 845,Octa core (8),"2,7 GHz"
app_819302,Apple,Hexa core (6),"2,5 GHz"
son_805262,Qualcomm Snapdragon 845,Octa core (8),"2,8 GHz"
app_648416,Apple A9,Dual core (2),"1,84 GHz"
xia_825443,Qualcomm Snapdragon 845,Octa core (8),"2,8 GHz"
app_819331,Apple,Hexa core (6),"2,5 GHz"
hua_805274,Kirin,Quad core (4),"2,36 GHz"
app_793652,Apple,Hexa core (6),"2,39 GHz"
hua_811967,Kirin,Quad core (4),"2,36 GHz"
hua_811986,Qualcomm Snapdragon 425,Quad core (4),"1,4 GHz"
mot_825938,Qualcomm Snapdragon 632,Octa core (8),"1,8 GHz"
nok_821537,Qualcomm Snapdragon 636,Octa core (8),"1,8 GHz"
