smartphone_id,versnellingsmeter,lichtsensor,kompas,stappenteller,gps_sensor,vingerafdruk,irisscanner
app_793664,Ja,Ja,Ja,Ja,Ja,Ja,Nee
sam_788865,Ja,Ja,Ja,Ja,Ja,Ja,Ja
app_819326,Ja,Ja,Ja,Ja,Ja,Nee,Nee
app_793665,Ja,Ja,Ja,Ja,Ja,Ja,Nee
app_793666,Ja,Ja,Ja,Ja,Ja,Ja,Nee
app_648317,Ja,Ja,Ja,Ja,Ja,Ja,Nee
app_819345,Ja,Ja,Ja,Ja,Ja,Nee,Nee
app_793277,Ja,Ja,Ja,Ja,Ja,Nee,Nee
hua_824886,Nee,Ja,Ja,Nee,Ja,Ja,Nee
sam_827023,Ja,Ja,Ja,Ja,Ja,Ja,Nee
app_819300,Ja,Ja,Ja,Ja,Ja,Nee,Nee
sam_820617,Ja,Ja,Ja,Nee,Ja,Ja,Nee
nok_825127,Ja,Ja,Ja,Nee,Ja,Ja,Nee
sam_802083,Ja,Ja,Ja,Ja,Ja,Ja,Ja
app_713062,Ja,Ja,Ja,Ja,Ja,Ja,Nee
sam_827074,Ja,Ja,Ja,Ja,Ja,Ja,Nee
sam_828145,Ja,Ja,Ja,Nee,Ja,Ja,Nee
sam_812915,Ja,Ja,Ja,Ja,Ja,Ja,Nee
app_819304,Ja,Ja,Ja,Ja,Ja,Nee,Nee
sam_812160,Ja,Ja,Ja,Ja,Ja,Ja,Nee
nok_827613,Ja,Ja,Ja,Nee,Ja,Ja,Nee
app_819957,Ja,Ja,Ja,Ja,Ja,Nee,Nee
app_819961,Ja,Ja,Ja,Ja,Ja,Nee,Nee
nok_825131,Ja,Ja,Ja,Nee,Ja,Ja,Nee
mot_825937,Ja,Ja,Nee,Nee,Ja,Ja,Nee
sam_820610,Ja,Ja,Ja,Nee,Ja,Ja,Nee
app_733904,Ja,Ja,Ja,Ja,Ja,Ja,Nee
sam_773753,Ja,Ja,Ja,Nee,Ja,Nee,Nee
hua_821689,Ja,Ja,Ja,Ja,Ja,Ja,Nee
hua_818778,Ja,Ja,Ja,Ja,Ja,Ja,Nee
sam_820615,Ja,Ja,Ja,Nee,Ja,Ja,Nee
cat_793347,Ja,Ja,Ja,Ja,Ja,Nee,Nee
app_793672,Ja,Ja,Ja,Ja,Ja,Ja,Nee
app_793651,Ja,Ja,Ja,Ja,Ja,Nee,Nee
sam_816237,Ja,Ja,Ja,Ja,Ja,Ja,Ja
sam_805190,Ja,Ja,Ja,Ja,Ja,Ja,Ja
hua_828432,Ja,Ja,Ja,Ja,Ja,Ja,Nee
mot_825941,Ja,Ja,Ja,Nee,Ja,Ja,Nee
app_819332,Ja,Ja,Ja,Ja,Ja,Nee,Nee
app_819950,Ja,Ja,Ja,Ja,Ja,Nee,Nee
app_819956,Ja,Ja,Ja,Ja,Ja,Nee,Nee
