smartphone_id,artikelnummer,fabrikantcode,merk,naam,sat_categorie,sat_waarde,besturingssysteem,systeem_versie,hoogte,breedte,diepte,gewicht,kleur,materiaal,waterbestendig,ip_certificering,schokbestendig,geluidsweergave,werkgeheugen,opslagcapaciteit,geheugenkaartlezer,max_uitbreidgeheugen,simlock_vrij,type_sim,dual_sim,schermdiagonaal,resolutie_hoogte,resolutie_breedte,pixel_dichtheid,scherpte,schermtype,audiopoort
app_793664,793664,MQ6G2ZD/A,Apple,Apple iPhone 8 64GB Space Gray,D,"1,36 W/kg",iOS,iOS 11,"13,8 cm","6,7 cm","0,7 cm",148 g,Zwart,"Glas, Metaal",Ja,IP67,Nee,Stereo,2 GB,64 GB,Nee,0,Ja,Nano sim,Nee,"4,7 """,750 px,1334 px,326 ppi,HD Ready (720p),IPS - LCD,Nee
sam_788865,788865,SM-G960FZKDPHN,Samsung,Samsung Galaxy S9 64GB Zwart,A,"0,362 W/kg",Android,Android 8.0 Oreo,"14,77 cm","6,87 cm","0,85 cm",163 g,Zwart,"Glas, Metaal",Ja,IP68,Nee,Stereo,4 GB,64 GB,Ja,400 GB,Ja,Nano sim,Ja,"5,8 """,2960 px,1440 px,570 ppi,Quad HD (1440p),AMOLED,Ja
app_819326,819326,MT9H2ZD/A,Apple,Apple iPhone Xs 256 GB Space Gray,Nog niet bekend,0,iOS,iOS 12,"14,36 cm","7,09 cm","0,77 cm",177 g,Zwart,"Glas, Metaal",Ja,IP68,Nee,Stereo,4 GB,256 GB,Nee,0,Ja,Nano sim,Ja,"5,8 """,2436 px,1125 px,458 ppi,Quad HD (1440p),OLED,Nee
app_793665,793665,MQ6H2ZD/A,Apple,Apple iPhone 8 64GB Zilver,D,"1,36 W/kg",iOS,iOS 11,"13,8 cm","6,7 cm","0,7 cm",148 g,Zilver,"Glas, Metaal",Ja,IP67,Nee,Stereo,2 GB,64 GB,Nee,0,Ja,Nano sim,Nee,"4,7 """,750 px,1334 px,326 ppi,HD Ready (720p),IPS - LCD,Nee
app_793666,793666,MQ6J2ZD/A,Apple,Apple iPhone 8 64GB Goud,D,"1,36 W/kg",iOS,iOS 11,"13,8 cm","6,7 cm","0,7 cm",148 g,Goud,"Glas, Metaal",Ja,IP67,Nee,Stereo,2 GB,64 GB,Nee,0,Ja,Nano sim,Nee,"4,7 """,750 px,1334 px,326 ppi,HD Ready (720p),IPS - LCD,Nee
app_648317,648317,MN0W2ZD/A,Apple,Apple iPhone 6s 32GB Space Gray,C,"0,98 W/kg",iOS,iOS 11,"13,8 cm","6,7 cm","0,71 cm",143 g,Zwart,"Glas, Metaal",Nee,0,Nee,Mono,2 GB,32 GB,Nee,0,Ja,Nano sim,Nee,"4,7 """,1334 px,750 px,326 ppi,HD Ready (720p),IPS - LCD,Ja
app_819345,819345,MRY42ZD/A,Apple,Apple iPhone Xr 64 GB Zwart,Nog niet bekend,0,iOS,iOS 12,"15,09 cm","7,57 cm","0,83 cm",194 g,Zwart,"Glas, Metaal",Ja,IP67,Nee,Stereo,3 GB,64 GB,Nee,0,Ja,Nano sim,Ja,"6,1 """,1792 px,828 px,326 ppi,HD Ready (720p),IPS - LCD,Nee
app_793277,793277,MQAC2ZD/A,Apple,Apple iPhone X 64GB Space Gray,Nog niet bekend,0,iOS,iOS 11,"14,36 cm","7,09 cm","0,77 cm",174 g,Zwart,"Glas, Metaal",Ja,IP67,Nee,Stereo,3 GB,64 GB,Nee,0,Ja,Nano sim,Nee,"5,8 """,2436 px,1125 px,458 ppi,Quad HD (1440p),OLED,Nee
hua_824886,824886,51093GNB,Huawei,Huawei P Smart (2019) Zwart,C,"0,83 W/kg",Android,Android 9.0 Pie,"15,52 cm","7,34 cm","0,8 cm",160 g,Zwart,"Glas, Kunststof",Nee,0,Nee,Mono,3 GB,64 GB,Ja,512 GB,Ja,Nano sim,Ja,"6,21 inch",2340 px,1080 px,415 ppi,Full HD (1080p),IPS - LCD,Ja
sam_827023,827023,SM-G973FZKDPHN,Samsung,Samsung Galaxy S10 128GB Zwart,Nog niet bekend,0,Android,Android 9.0 Pie,"14,99 cm","7,04 cm","0,78 cm",157 g,Zwart,"Glas, Metaal",Ja,IP68,Nee,Stereo,8 GB,128 GB,Ja,512 GB,Ja,Nano sim,Ja,"6,1 inch",3040 px,1440 px,550 ppi,Quad HD (1440p),AMOLED,Ja
app_819300,819300,MT9E2ZD/A,Apple,Apple iPhone Xs 64 GB Space Gray,Nog niet bekend,0,iOS,iOS 12,"14,36 cm","7,09 cm","0,77 cm",177 g,Zwart,"Glas, Metaal",Ja,IP68,Nee,Stereo,4 GB,64 GB,Nee,0,Ja,Nano sim,Ja,"5,8 """,2436 px,1125 px,458 ppi,Quad HD (1440p),OLED,Nee
sam_820617,820617,SM-A750FZKUPHN,Samsung,Samsung Galaxy A7 (2018) Zwart,A,"0,335 W/kg",Android,Android 8.0 Oreo,"15,98 cm","7,68 cm","0,75 cm",168 g,Zwart,Glas,Nee,0,Nee,Stereo,4 GB,64 GB,Ja,512 GB,Ja,Nano sim,Ja,"6 """,2220 px,1080 px,411 ppi,Full HD (1080p),AMOLED,Ja
nok_825127,825127,11PNXL01A01,Nokia,Nokia 8.1 Blauw,E,"1,74 W/kg",Android,Android 9.0 Pie,"15,48 cm","7,58 cm","0,8 cm",180 g,Blauw,"Glas, Metaal",Nee,0,Nee,Mono,4 GB,64 GB,Ja,400 GB,Ja,Nano sim,Ja,"6,18 inch",2280 px,1080 px,408 ppi,Full HD (1080p),IPS - LCD,Ja
sam_802083,802083,SM-A530FZKDPHN,Samsung,Samsung Galaxy A8 (2018) Zwart,A,"0,241 W/kg",Android,Android 7.1 Nougat,"14,92 cm","7,06 cm","0,84 cm",172 g,Zwart,"Glas, Metaal",Ja,IP68,Nee,Mono,4 GB,32 GB,Ja,256 GB,Ja,Nano sim,Ja,"5,6 """,2220 px,1080 px,441 ppi,Full HD (1080p),AMOLED,Ja
app_713062,713062,MN8X2ZD/A,Apple,Apple iPhone 7 32GB Zwart,D,"1,38 W/kg",iOS,iOS 11,"13,83 cm","6,7 cm","0,71 cm",138 g,Zwart,"Glas, Metaal",Ja,IP67,Nee,Stereo,2 GB,32 GB,Nee,0,Ja,Nano sim,Nee,"4,7 """,1334 px,750 px,326 ppi,HD Ready (720p),IPS - LCD,Nee
sam_827074,827074,SM-G975FZKDPHN,Samsung,Samsung Galaxy S10 Plus 128 GB Zwart,Nog niet bekend,0,Android,Android 9.0 Pie,"15,76 cm","7,41 cm","0,78 cm",175 g,Zwart,"Glas, Metaal",Ja,IP68,Nee,Stereo,8 GB,128 GB,Ja,512 GB,Ja,Nano sim,Ja,"6,4 inch",3040 px,1440 px,522 ppi,Quad HD (1440p),AMOLED,Ja
